state,district,mandi,crop,Variety,Grade,date,Min_Price,Max_Price,price,Commodity_Code,year,month
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Other,FAQ,2014-10-01,1200,3552,3401.0,13,2014,10
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Other,FAQ,2014-08-02,2611,3750,2800.0,13,2014,8
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Other,FAQ,2014-11-02,3500,3757,3641.0,13,2014,11
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Other,FAQ,2014-07-03,3600,4041,3900.0,13,2014,7
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-08-03,3600,4190,4050.0,13,2014,8
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-03-05,3850,4390,4180.0,13,2014,3
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-06-05,3600,4370,4200.0,13,2014,6
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-09-05,4070,4510,4300.0,13,2014,9
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-05-08,3700,3700,3700.0,13,2014,5
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-01-11,2750,3080,2840.0,13,2014,1
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-04-12,2900,3172,3100.0,13,2014,4
Madhya Pradesh,Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,2014-10-12,2000,3178,3051.0,13,2014,10
Madhya Pradesh,Guna,Raghogarh,Soyabean,Yellow,FAQ,2014-08-12,2860,3286,3250.0,13,2014,8
Madhya Pradesh,Guna,Raghogarh,Soyabean,Yellow,FAQ,2014-11-12,3200,3297,3260.0,13,2014,11
Madhya Pradesh,Gwalior,Dabra,Soyabean,Yellow,FAQ,2014-08-01,3116,3300,3250.0,13,2014,8
Madhya Pradesh,Gwalior,Dabra,Soyabean,Yellow,FAQ,2014-03-11,3000,3166,3090.0,13,2014,3
Madhya Pradesh,Gwalior,Dabra,Soyabean,Yellow,FAQ,2014-07-11,3000,3135,3100.0,13,2014,7
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Other,FAQ,2014-01-07,3750,3750,3750.0,13,2014,1
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Other,FAQ,2014-01-11,2950,3050,3000.0,13,2014,1
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Other,FAQ,2014-08-11,2995,2995,2995.0,13,2014,8
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Other,FAQ,2014-11-11,2981,3001,2981.0,13,2014,11
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Other,FAQ,2014-04-12,2900,2900,2900.0,13,2014,4
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Soyabeen,FAQ,2014-06-01,3305,3305,3305.0,13,2014,6
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Soyabeen,FAQ,2014-10-01,3205,3380,3205.0,13,2014,10
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Yellow,FAQ,2014-05-12,2885,3085,2885.0,13,2014,5
Madhya Pradesh,Gwalior,Lashkar,Soyabean,Yellow,FAQ,2014-08-12,3040,3040,3040.0,13,2014,8
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-03-01,2500,3910,3375.0,13,2014,3
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-07-01,2600,3969,3350.0,13,2014,7
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-10-01,2375,3600,3300.0,13,2014,10
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-11-01,2600,3640,3325.0,13,2014,11
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-04-02,2400,3799,3550.0,13,2014,4
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-05-02,2400,3775,3550.0,13,2014,5
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-08-02,2300,3780,3500.0,13,2014,8
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-10-02,2400,3800,3500.0,13,2014,10
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-11-04,3500,4110,4000.0,13,2014,11
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-06-05,4000,4516,4350.0,13,2014,6
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-12-05,4050,4463,4450.0,13,2014,12
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-04-06,1900,3895,3725.0,13,2014,4
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-02-07,3000,3925,3800.0,13,2014,2
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-03-09,2900,3371,3200.0,13,2014,3
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-12-09,2900,3363,3140.0,13,2014,12
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-07-10,2100,2920,2600.0,13,2014,7
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-09-10,2200,2940,2570.0,13,2014,9
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-11-10,2200,2853,2500.0,13,2014,11
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-05-11,2400,3100,2800.0,13,2014,5
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-11-11,2500,3048,2800.0,13,2014,11
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-04-12,2000,3136,3070.0,13,2014,4
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-06-12,2500,3175,3060.0,13,2014,6
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-10-12,2600,3184,3050.0,13,2014,10
Madhya Pradesh,Harda,Harda,Soyabean,Yellow,FAQ,2014-12-12,2600,3164,3025.0,13,2014,12
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-03-01,2935,3810,3570.0,13,2014,3
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-04-01,2750,3750,3556.0,13,2014,4
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-06-01,3000,3650,3350.0,13,2014,6
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-09-01,2500,3528,3250.0,13,2014,9
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-06-02,2940,3851,3600.0,13,2014,6
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-08-02,2601,3800,3455.0,13,2014,8
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-07-03,3400,4051,3950.0,13,2014,7
Madhya Pradesh,Harda,Khirakiya,Soyabean,Local,FAQ,2014-12-03,3300,4002,3850.0,13,2014,12
